title,Adventure,Animation,Science Fiction,TV Movie,Fantasy,Mystery,Crime,Western,Documentary,History,Thriller,Drama,Romance,Music,War,Horror,Family,Foreign,Comedy,Action
The Muppets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.893835192279086,0.0,0.0,4.893835192279086,0.0,4.893835192279086,0.0
Blade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.993699553179481,0.0,0.0,0.0,5.993699553179481
Coach Carter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.476371196895983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Changing Lanes,4.238185598447991,0.0,0.0,0.0,0.0,0.0,4.238185598447991,0.0,0.0,0.0,4.238185598447991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.238185598447991
Anaconda,4.893835192279086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.893835192279086,0.0,0.0,0.0,0.0,4.893835192279086,0.0,0.0,0.0,0.0
Coyote Ugly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.476371196895983,0.0
Love Actually,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.893835192279086,4.893835192279086,0.0,0.0,0.0,0.0,0.0,4.893835192279086,0.0
A Bug's Life,4.238185598447991,4.238185598447991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.238185598447991,0.0,4.238185598447991,0.0
From Hell,0.0,0.0,0.0,0.0,0.0,4.893835192279086,0.0,0.0,0.0,0.0,4.893835192279086,0.0,0.0,0.0,0.0,4.893835192279086,0.0,0.0,0.0,0.0
The Specialist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.993699553179481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.993699553179481
Tin Cup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.893835192279086,4.893835192279086,0.0,0.0,0.0,0.0,0.0,4.893835192279086,0.0
"Yours, Mine and Ours",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.893835192279086,0.0,0.0,0.0,0.0,4.893835192279086,0.0,4.893835192279086,0.0
